word,group,drift_score,avg_freq,log_freq,pos,self_cosine,neighbor_overlap,temporal_mae,project_acc,project_acc_jaccard
dutch,target,0.5269622072276466,2.1954546046375312e-05,-4.658475538363395,ADJ,0.4730377927723534,0.23400000000000004,2.0,0.6666666666666666,0.8333333333333334
handy,target,0.5203908635162854,9.973818466924488e-06,-5.001138540622413,ADJ,0.47960913648371467,0.01,1.9090909090909092,1.0,0.0
mexican,target,0.5130060079556713,2.68757134932198e-05,-4.570639997325452,ADJ,0.48699399204432864,0.258,1.6363636363636365,0.5,0.5
grim,target,0.5129468538688209,1.9510577950810187e-05,-4.709729865555251,ADJ,0.4870531461311791,0.138,2.1818181818181817,0.3333333333333333,0.5
alien,target,0.5086975783471822,2.268242972069262e-05,-4.644310426067906,ADJ,0.4913024216528177,0.158,2.3636363636363638,0.6666666666666666,0.16666666666666666
underground,target,0.5074267179664751,1.47285620297548e-05,-4.831839651869329,ADJ,0.49257328203352496,0.08,1.6363636363636365,1.0,1.0
elder,target,0.5061380358101719,2.1200543251022187e-05,-4.673653010396795,ADJ,0.49386196418982803,0.16399999999999998,1.7272727272727273,0.6666666666666666,1.0
uncertain,target,0.5030828430487235,1.7334657779607266e-05,-4.7610847277540636,ADJ,0.4969171569512764,0.06600000000000002,1.6363636363636365,0.5,1.0
cuban,target,0.502483592495304,1.4170576726752668e-05,-4.848612474089218,ADJ,0.49751640750469595,0.042,2.272727272727273,0.6666666666666666,0.16666666666666666
savage,target,0.5001136199726222,2.291539893179216e-05,-4.639872577766003,ADJ,0.4998863800273778,0.21799999999999997,1.2727272727272727,0.3333333333333333,0.6666666666666666
bold,target,0.49709814991589785,1.939630780233309e-05,-4.712280932630647,ADJ,0.502901850084102,0.122,2.0,0.3333333333333333,0.6666666666666666
lesser,target,0.4906612281635917,1.3361716861679099e-05,-4.874137735299966,ADJ,0.5093387718364083,0.026000000000000002,1.0909090909090908,1.0,0.0
amazing,target,0.4877642109500015,1.661170025489944e-05,-4.779585913994715,ADJ,0.5122357890499984,0.134,1.7272727272727273,1.0,0.6666666666666666
neutral,target,0.48522491318005523,1.4873032064942228e-05,-4.827600485759178,ADJ,0.5147750868199448,0.044,1.7272727272727273,0.3333333333333333,0.3333333333333333
perpetual,target,0.4850828948049661,7.068358794024826e-06,-5.150681413563938,ADJ,0.514917105195034,0.036000000000000004,2.5454545454545454,1.0,0.5
ridiculous,target,0.4848776409209159,1.761986419944215e-05,-4.753997443123755,ADJ,0.5151223590790841,0.11000000000000001,1.8181818181818181,1.0,0.16666666666666666
gay,target,0.44212941090600805,2.8713146824010653e-05,-4.541919208290274,ADJ,0.5578705890939919,0.328,1.1818181818181819,0.16666666666666666,0.3333333333333333
awful,target,0.3342417007412795,3.574886936646209e-05,-4.446737689126436,ADJ,0.6657582992587205,0.5479999999999999,1.5454545454545454,1.0,1.0
sick,target,0.2752071831982899,6.735067876938325e-05,-4.171658023039552,ADJ,0.72479281680171,0.5980000000000001,1.0,1.0,1.0
nice,target,0.2093909093990292,9.810463576860391e-05,-4.008310470284108,ADJ,0.7906090906009707,0.6859999999999999,1.0,1.0,1.0
wooden,control,0.25516354658683954,3.5378641589647274e-05,-4.451258846424774,ADJ,0.7448364534131604,0.5559999999999999,1.0,1.0,1.0
ancient,control,0.25407818927073256,5.567512124208149e-05,-4.254338828542516,ADJ,0.7459218107292674,0.518,1.0909090909090908,1.0,1.0
supreme,control,0.2482598091367681,4.8776255643406186e-05,-4.311791541780017,ADJ,0.751740190863232,0.6000000000000002,1.0,1.0,1.0
willing,control,0.24340250575206604,5.814098971091953e-05,-4.235517579680613,ADJ,0.7565974942479341,0.662,1.0,1.0,1.0
yellow,control,0.23804052745805535,6.899698341184339e-05,-4.16116989645447,ADJ,0.7619594725419447,0.672,1.1818181818181819,1.0,1.0
annual,control,0.23703324213063529,4.2409446963167514e-05,-4.3725373908840925,ADJ,0.7629667578693647,0.518,1.0,1.0,1.0
available,control,0.23550728771962026,6.980327860550596e-05,-4.15612417842498,ADJ,0.7644927122803798,0.5980000000000001,1.0,1.0,1.0
loud,control,0.23478374235215121,4.041851199127722e-05,-4.393419679090699,ADJ,0.7652162576478487,0.754,1.1818181818181819,1.0,1.0
narrow,control,0.22807781379686975,6.681161361485128e-05,-4.175148039164378,ADJ,0.7719221862031302,0.5599999999999999,1.0,1.0,1.0
pale,control,0.2239031267051919,5.192068822361432e-05,-4.284659559471612,ADJ,0.7760968732948081,0.72,1.0909090909090908,1.0,1.0
sudden,control,0.21786444189753634,6.935937490007938e-05,-4.158894829584175,ADJ,0.7821355581024636,0.688,1.0,1.0,1.0
bright,control,0.21173436224091152,7.822400233386459e-05,-4.106659967122778,ADJ,0.7882656377590884,0.728,1.0,1.0,1.0
thick,control,0.20559387956361985,6.0581762507785565e-05,-4.217658095871587,ADJ,0.79440612043638,0.602,1.0,1.0,1.0
tall,control,0.18875610876830431,7.795465646885357e-05,-4.10815793796932,ADJ,0.8112438912316957,0.648,1.0,1.0,1.0
dark,control,0.18336130230183306,0.00018656430461118533,-3.729171446298668,ADJ,0.816638697698167,0.732,1.0,1.0,1.0
able,control,0.17828646561759226,0.00018744572458730452,-3.727124460866954,ADJ,0.8217135343824078,0.6819999999999999,1.0,1.0,1.0
